,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,날짜,이익,누적노출
4,2019-01-01 06:40:00,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,6672000,2019-01-01 00:00:00,6672000,60
5,2019-01-01 06:40:00,20,100346,201079,테이트 여성 셀린니트3종,의류,39900,9337000,2019-01-01 00:00:00,9337000,60
8,2019-01-01 07:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,25370000,2019-01-01 00:00:00,25370000,60
11,2019-01-01 08:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,53542000,2019-01-01 00:00:00,53542000,60
14,2019-01-01 09:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,49270000,2019-01-01 00:00:00,49270000,60
17,2019-01-01 10:40:00,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,112972000,2019-01-01 00:00:00,112972000,60
19,2019-01-01 11:20:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,49829000,2019-01-01 00:00:00,49829000,40
22,2019-01-01 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,99235000,2019-01-01 00:00:00,99235000,60
24,2019-01-01 13:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,79273000,2019-01-01 00:00:00,79273000,60
27,2019-01-01 14:30:00,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,40526000,2019-01-01 00:00:00,40526000,60
28,2019-01-01 14:30:00,30,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,47294000,2019-01-01 00:00:00,47294000,60
31,2019-01-01 15:40:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,39669000,2019-01-01 00:00:00,39669000,60
33,2019-01-01 16:20:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,115457000,2019-01-01 00:00:00,115457000,40
34,2019-01-01 16:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,83893000,2019-01-01 00:00:00,83893000,20
