,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,날짜,이익,누적노출
4,2019-01-01 06:40:00,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,6672000,2019-01-01 00:00:00,3410000,60
166,2019-01-03 00:20:00,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,10481000,2019-01-03 00:00:00,3152000,40
5,2019-01-01 06:40:00,20,100346,201079,테이트 여성 셀린니트3종,의류,39900,9337000,2019-01-01 00:00:00,2382000,60
167,2019-01-03 00:20:00,20,100346,201079,테이트 여성 셀린니트3종,의류,39900,22520000,2019-01-03 00:00:00,10470000,40
8,2019-01-01 07:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,25370000,2019-01-01 00:00:00,9681000,60
75,2019-01-02 08:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,34822000,2019-01-02 00:00:00,13425000,60
309,2019-01-04 14:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,37992000,2019-01-04 00:00:00,6646000,60
461,2019-01-06 10:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,65610000,2019-01-06 00:00:00,40982000,60
11,2019-01-01 08:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,53542000,2019-01-01 00:00:00,23481000,60
370,2019-01-05 11:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,79540000,2019-01-05 00:00:00,33193000,60
794,2019-01-09 23:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,42060000,2019-01-09 00:00:00,-4512000,60
962,2019-01-11 21:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,71789000,2019-01-11 00:00:00,17866000,60
1003,2019-01-12 09:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,55097000,2019-01-12 00:00:00,22212000,60
1354,2019-01-15 21:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,72770000,2019-01-15 00:00:00,30689000,60
1631,2019-01-18 21:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,56552000,2019-01-18 00:00:00,11720000,60
14,2019-01-01 09:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,49270000,2019-01-01 00:00:00,23642000,60
190,2019-01-03 11:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,35613000,2019-01-03 00:00:00,3222000,60
367,2019-01-05 10:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,35456000,2019-01-05 00:00:00,7718000,60
458,2019-01-06 09:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,28257000,2019-01-06 00:00:00,-2896000,60
542,2019-01-07 08:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,20813000,2019-01-07 00:00:00,8781000,60
724,2019-01-09 06:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,13562000,2019-01-09 00:00:00,3924000,60
17,2019-01-01 10:40:00,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,112972000,2019-01-01 00:00:00,15065000,60
19,2019-01-01 11:20:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,49829000,2019-01-01 00:00:00,25298000,40
2540,2019-01-28 07:40:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,28648000,2019-01-28 00:00:00,4281000,60
22,2019-01-01 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,99235000,2019-01-01 00:00:00,40152000,60
376,2019-01-05 13:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,69434000,2019-01-05 00:00:00,2479000,60
586,2019-01-07 17:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,45147000,2019-01-07 00:00:00,-11429000,60
1133,2019-01-13 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,96399000,2019-01-13 00:00:00,27647000,60
1402,2019-01-16 08:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,45560000,2019-01-16 00:00:00,4700000,60
1998,2019-01-22 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,59936000,2019-01-22 00:00:00,-2027000,60
2124,2019-01-23 15:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,50469000,2019-01-23 00:00:00,10340000,60
2389,2019-01-26 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,70618000,2019-01-26 00:00:00,15542000,60
2456,2019-01-27 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,88745000,2019-01-27 00:00:00,25175000,60
2554,2019-01-28 11:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,58801000,2019-01-28 00:00:00,-597000,60
2627,2019-01-29 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,54221000,2019-01-29 00:00:00,13568000,60
2930,2019-02-01 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,49351000,2019-02-01 00:00:00,8804000,60
3221,2019-02-04 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,56976000,2019-02-04 00:00:00,9433000,60
3617,2019-02-08 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,59413000,2019-02-08 00:00:00,14657000,60
3741,2019-02-09 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,88342000,2019-02-09 00:00:00,21928000,60
3932,2019-02-11 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,62483000,2019-02-11 00:00:00,12729000,60
4031,2019-02-12 18:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,57328000,2019-02-12 00:00:00,16552000,60
4303,2019-02-15 09:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,59216000,2019-02-15 00:00:00,9534000,60
4753,2019-02-19 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60502000,2019-02-19 00:00:00,20619000,60
4853,2019-02-20 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,67196000,2019-02-20 00:00:00,19756000,60
5065,2019-02-22 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60432000,2019-02-22 00:00:00,21125000,60
5164,2019-02-23 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,62765000,2019-02-23 00:00:00,14939000,60
5412,2019-02-25 22:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,86255000,2019-02-25 00:00:00,33457000,60
5524,2019-02-27 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,51867000,2019-02-27 00:00:00,4296000,60
5621,2019-02-28 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,51067000,2019-02-28 00:00:00,12620000,60
5826,2019-03-02 08:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,55762000,2019-03-02 00:00:00,9444000,60
6072,2019-03-04 13:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,32701000,2019-03-04 00:00:00,446000,60
6302,2019-03-06 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,36706000,2019-03-06 00:00:00,6279000,60
6485,2019-03-08 09:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,52356000,2019-03-08 00:00:00,11698000,60
6858,2019-03-11 20:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,56592000,2019-03-11 00:00:00,20174000,60
7135,2019-03-14 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,57450000,2019-03-14 00:00:00,19333000,60
7346,2019-03-16 11:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,91090000,2019-03-16 00:00:00,39317000,60
7554,2019-03-18 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,48034000,2019-03-18 00:00:00,11287000,60
7631,2019-03-19 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,59897000,2019-03-19 00:00:00,22347000,60
7784,2019-03-20 19:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,61582000,2019-03-20 00:00:00,20816000,60
7859,2019-03-21 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,46886000,2019-03-21 00:00:00,17922000,60
8105,2019-03-23 17:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,84381000,2019-03-23 00:00:00,4942000,60
8413,2019-03-26 19:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,55660000,2019-03-26 00:00:00,14278000,60
8494,2019-03-27 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,58038000,2019-03-27 00:00:00,14182000,60
8599,2019-03-28 20:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,50896000,2019-03-28 00:00:00,9651000,60
8763,2019-03-30 09:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60385000,2019-03-30 00:00:00,11887000,60
9175,2019-04-02 15:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,49121000,2019-04-02 00:00:00,20095000,60
9313,2019-04-03 19:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,49361000,2019-04-03 00:00:00,18726000,60
9522,2019-04-05 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,35476000,2019-04-05 00:00:00,7006000,60
9666,2019-04-06 17:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,64231000,2019-04-06 00:00:00,18870000,60
10013,2019-04-09 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60382000,2019-04-09 00:00:00,21978000,60
10136,2019-04-10 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,52042000,2019-04-10 00:00:00,14227000,60
10471,2019-04-13 11:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,64142000,2019-04-13 00:00:00,13574000,60
10620,2019-04-14 17:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,59890000,2019-04-14 00:00:00,15475000,60
10693,2019-04-15 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,42860000,2019-04-15 00:00:00,9344000,60
10966,2019-04-17 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,42679000,2019-04-17 00:00:00,8710000,60
11330,2019-04-20 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,48615000,2019-04-20 00:00:00,9307000,60
11425,2019-04-21 13:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,65342000,2019-04-21 00:00:00,22029000,60
11790,2019-04-24 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,43999000,2019-04-24 00:00:00,19379000,60
11859,2019-04-25 10:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,58974000,2019-04-25 00:00:00,16050000,60
12112,2019-04-27 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,46728000,2019-04-27 00:00:00,8814000,60
12525,2019-05-01 13:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,49099000,2019-05-01 00:00:00,5714000,60
12918,2019-05-04 17:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,55493000,2019-05-04 00:00:00,12377000,60
13292,2019-05-07 14:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,33871000,2019-05-07 00:00:00,7607000,60
13520,2019-05-09 12:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,38706000,2019-05-09 00:00:00,6601000,60
13949,2019-05-12 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,84510000,2019-05-12 00:00:00,18290000,60
14069,2019-05-13 15:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,47169000,2019-05-13 00:00:00,12776000,60
15442,2019-05-25 13:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,75560000,2019-05-25 00:00:00,22173000,60
16277,2019-06-02 15:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,84333000,2019-06-02 00:00:00,34875000,60
16726,2019-06-06 16:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,66149000,2019-06-06 00:00:00,21965000,60
16935,2019-06-08 15:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,68650000,2019-06-08 00:00:00,10411000,60
24,2019-01-01 13:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,79273000,2019-01-01 00:00:00,47000000,60
109,2019-01-02 14:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,56800000,2019-01-02 00:00:00,28344000,60
187,2019-01-03 10:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,70140000,2019-01-03 00:00:00,37377000,60
300,2019-01-04 11:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,56953000,2019-01-04 00:00:00,28897000,60
384,2019-01-05 15:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,61352000,2019-01-05 00:00:00,28542000,60
547,2019-01-07 10:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,39476000,2019-01-07 00:00:00,23355000,60
814,2019-01-10 09:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,45094000,2019-01-10 00:00:00,31772000,60
1007,2019-01-12 11:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,73111000,2019-01-12 00:00:00,45446000,60
1178,2019-01-13 21:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,58041000,2019-01-13 00:00:00,32368000,60
27,2019-01-01 14:30:00,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,40526000,2019-01-01 00:00:00,29257000,60
28,2019-01-01 14:30:00,30,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,47294000,2019-01-01 00:00:00,26453000,60
31,2019-01-01 15:40:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,39669000,2019-01-01 00:00:00,7274000,60
217,2019-01-03 17:40:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,27284000,2019-01-03 00:00:00,-5731000,60
