,rho,650_src,660_src,670_src,680_src,690_src,700_src,710_src,720_src,730_src,740_src,750_src,760_src,770_src,780_src,790_src,800_src,810_src,820_src,830_src,840_src,850_src,860_src,870_src,880_src,890_src,900_src,910_src,920_src,930_src,940_src,950_src,960_src,970_src,980_src,990_src,650_dst,660_dst,670_dst,680_dst,690_dst,700_dst,710_dst,720_dst,730_dst,740_dst,750_dst,760_dst,770_dst,780_dst,790_dst,800_dst,810_dst,820_dst,830_dst,840_dst,850_dst,860_dst,870_dst,880_dst,890_dst,900_dst,910_dst,920_dst,930_dst,940_dst,950_dst,960_dst,970_dst,980_dst,990_dst,hhb,hbo2,ca,na
1,10,0.0,0.0,0.01813,0.0,0.0,0.01974,0.00321,0.0,0.0,0.01295,0.0,0.01565,0.0,0.0,0.01285,0.011290000000000001,0.00359,0.0,0.0,0.0,0.0,0.0,0.044660000000000005,0.10737999999999999,0.21645999999999999,0.41456000000000004,0.6371600000000001,0.8423,0.9748,0.99803,0.97146,0.87045,0.7533,0.6341399999999999,0.53699,0.0,0.0,0.0,1.9955303889764976e-10,1.0252593465279228e-10,0.0,0.0,0.0,0.0,0.0,1.1510206803460761e-10,4.318673224427421e-10,2.753933497862998e-10,0.0,8.138830169911961e-10,6.522109663222242e-10,0.0,2.732231844298386e-10,0.0,7.663266915114873e-11,0.0,1.3894961552545794e-10,1.4722821637406089e-09,1.450463103371563e-09,1.225321258906709e-09,2.6476332408267652e-09,0.0,5.233480332475007e-09,1.2642375538442756e-08,1.3431318575117463e-08,6.11268485495327e-09,2.130546870046817e-09,0.0,9.710091008671586e-09,0.0,0.0,2.83,7.25,4.64
3,10,0.27503,0.31281,0.32898,0.41041000000000005,0.46587,0.52769,0.64369,0.7356199999999999,0.79865,0.9148200000000001,0.9527399999999999,0.9939100000000001,1.00563,0.93165,0.84703,0.74997,0.67765,0.58432,0.50642,0.43087,0.35684,0.30785999999999997,0.27721999999999997,0.24119000000000002,0.20158,0.17876,0.15139,0.15656,0.13392,0.14247,0.10126,0.09928,0.09239,0.10522999999999999,0.06348999999999999,4.044975280146593e-11,0.0,5.345362600349914e-11,9.106885913533336e-12,1.8814578702202906e-11,3.617200700513838e-11,7.909655686016247e-13,0.0,1.5838387409635015e-10,0.0,1.678049158072132e-10,2.814419120640697e-10,4.4293214125059985e-10,1.3199561175560274e-09,2.269805575035819e-09,2.679163644674559e-09,2.538200102079279e-09,2.046841071508282e-09,1.5168203022473127e-09,1.3280072842594714e-09,1.0613592054295847e-09,8.634016463234402e-10,5.804950855510721e-10,3.6150666524119915e-10,0.0,1.2748760176895748e-10,6.118946541281467e-11,0.0,1.6638877271624956e-10,2.2459980118957926e-10,1.2995108396165956e-10,7.782625483970989e-11,0.0,4.0889209621275374e-10,0.0,5.67,4.01,5.05,4.35
13,10,0.0,0.02951,0.04425,0.06829,0.10839000000000001,0.18252000000000002,0.27028,0.39223,0.55188,0.6794899999999999,0.8341,0.9236200000000001,1.00214,0.98101,0.9443799999999999,0.7921699999999999,0.6454300000000001,0.5159600000000001,0.3402,0.22562,0.14309000000000002,0.08868,0.0384,0.0018800000000000002,0.008159999999999999,0.02165,0.0,0.0,0.00557,0.00243,5e-05,0.01797,0.0,0.0,0.0,2.468581877489233e-12,0.0,3.794609071813162e-12,1.9736220680352578e-12,0.0,0.0,0.0,0.0,1.6265165636197395e-11,0.0,1.3665756862189868e-11,0.0,5.606035191344886e-11,1.227430251810593e-10,3.2742429686120993e-10,0.0,3.547282821309755e-10,0.0,1.4988632522765968e-10,7.468898578561013e-11,5.85974726882517e-11,3.718000598366235e-11,1.4985489883453152e-11,1.6692575776028174e-12,0.0,0.0,0.0,7.085583923594822e-12,6.844895605726745e-12,6.2363140725476745e-12,0.0,0.0,0.0,4.0708374378885586e-12,0.0,11.66,4.06,7.72,1.98
22,10,0.1808,0.16522,0.19805999999999999,0.22211,0.24525,0.28064,0.29902,0.32039,0.35963,0.42713999999999996,0.47703,0.5312600000000001,0.57015,0.65968,0.7237,0.80432,0.84951,0.94758,0.98182,0.9973200000000001,0.98739,0.98261,0.9314,0.85695,0.80325,0.73855,0.64558,0.5917399999999999,0.52374,0.44597,0.40879,0.35257,0.33503,0.3026,0.26915,0.0,3.2306143949129685e-11,0.0,0.0,7.51255686220604e-15,3.786310414040273e-13,0.0,3.895631145758129e-11,8.478072350810205e-12,4.683733577895754e-12,4.703344676448674e-11,8.880449780758841e-11,0.0,4.265411569439632e-10,0.0,1.3147875384050007e-09,1.5007171887590285e-09,1.5250954197741504e-09,1.2480939784897288e-09,1.009712075376948e-09,0.0,8.981974395980127e-10,7.604967808483503e-10,4.759466579816082e-10,0.0,0.0,2.149041370650772e-10,2.05176257107986e-10,2.803099930549436e-10,1.6243875886418868e-10,6.05332018107575e-11,0.0,5.63129954026222e-11,0.0,6.847052541665595e-10,5.69,5.04,11.83,2.28
23,10,0.07468999999999999,0.06266000000000001,0.09147000000000001,0.08819,0.10359000000000002,0.08845,0.09061,0.11166,0.1387,0.12322999999999999,0.15772,0.14371,0.16227,0.22196,0.2282,0.24766999999999997,0.28115,0.3185,0.39445,0.4143,0.51054,0.58402,0.6352,0.73387,0.83305,0.90896,0.97421,0.9871700000000001,0.99524,0.92901,0.8940100000000001,0.80807,0.7014199999999999,0.63372,0.5192100000000001,1.0560622194824643e-12,0.0,0.0,0.0,0.0,0.0,3.841956226494184e-11,0.0,0.0,6.612114606616728e-11,0.0,7.494287537143669e-11,0.0,0.0,0.0,6.622031373977934e-10,7.974235684770408e-10,9.738682251311676e-10,1.0571751732752343e-09,0.0,8.829578139304837e-10,1.0979298158062164e-09,1.1209839321797658e-09,8.940721525077428e-10,0.0,8.700462656779066e-10,1.0288232276504018e-09,1.1773455829397985e-09,1.2812191525017319e-09,8.483745776299728e-10,1.8916450579788943e-10,2.7449368623744103e-10,3.59198178295426e-10,0.0,3.4064288789344542e-09,7.09,2.75,10.85,1.24
29,10,0.08131000000000001,0.1205,0.19791,0.29364,0.40503,0.5392100000000001,0.68194,0.81624,0.93814,0.9744299999999999,1.01417,0.94668,0.88113,0.74047,0.5884199999999999,0.48053999999999997,0.34504,0.22382,0.15666,0.10802,0.04558,0.03656,0.020569999999999998,0.00805,0.0,0.00064,0.0,0.0,0.0046700000000000005,0.01027,0.009640000000000001,0.012830000000000001,0.019219999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.264962566297516e-11,0.0,1.4225873401646185e-11,5.596591235030991e-12,7.250491971970568e-11,0.0,3.966658407683939e-11,0.0,1.966703915321099e-10,0.0,2.844017312756576e-10,0.0,0.0,9.446735448891479e-11,6.365820024425922e-11,3.086256181136193e-11,0.0,1.3322995377141776e-11,0.0,0.0,0.0,0.0,4.645517994640494e-12,1.2791188188363853e-12,1.6012961922935774e-12,0.0,0.0,2.5108535461734695e-11,0.0,0.0,10.77,5.13,0.94,3.72
34,10,0.00548,0.01888,0.002,0.0,0.006220000000000001,0.017159999999999998,0.012029999999999999,0.0,0.0,0.0,0.019819999999999997,0.0,0.00951,0.0,0.0,0.019780000000000002,0.03149,0.05101,0.06614,0.14438,0.19582,0.27498,0.32931,0.42878,0.5512600000000001,0.67178,0.77291,0.89,0.96473,1.00695,0.9981200000000001,0.95473,0.9129200000000001,0.79345,0.69019,0.0,0.0,2.346099724130077e-11,0.0,0.0,8.020280563094475e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3296709873021037e-11,1.284225824187768e-10,0.0,2.2358253837193475e-10,2.710390694953665e-10,4.174192698399414e-10,4.887852828678471e-10,6.802143894745093e-10,6.966806582800053e-10,6.790285033553884e-10,4.813498159297883e-10,5.854189898117874e-10,6.263189702431015e-10,6.98537474289265e-10,1.2237315595216067e-09,9.997659600105901e-10,2.458781468513812e-10,1.254365866337957e-10,0.0,0.0,0.0,1.44,5.5,12.67,3.42
37,10,0.23188000000000003,0.2725,0.31172,0.33521999999999996,0.41513,0.4953,0.5592699999999999,0.6573899999999999,0.78335,0.87055,0.9426700000000001,0.99198,0.9683799999999999,0.89894,0.8217700000000001,0.70563,0.60169,0.5221899999999999,0.44293000000000005,0.37105,0.30775,0.28652,0.25453000000000003,0.20681,0.17385,0.14185,0.13627999999999998,0.13359000000000001,0.11409000000000001,0.10262,0.10761,0.1006,0.06175,0.08797,0.07409,0.0,2.5385367913077345e-12,0.0,0.0,0.0,0.0,0.0,2.369120507793093e-11,5.6202372559943575e-11,8.249680896678638e-11,0.0,7.164173813823214e-11,2.1956014871990216e-10,4.033609055750344e-10,6.763764390501974e-10,9.002919689316907e-10,8.038211352748069e-10,0.0,0.0,2.8041825379448417e-10,1.995900731236433e-10,1.8577091895790311e-10,1.5852296179597547e-10,8.720163115140896e-11,4.4069993805772996e-11,4.600183804800934e-11,4.0618658897476145e-11,4.383870622094819e-11,5.972454924845173e-11,0.0,8.537933231930832e-12,7.974490858635957e-12,1.0497910769215173e-11,5.811597898917233e-11,1.8226404322132183e-10,6.93,4.58,12.7,2.0
39,10,0.0455,0.06984,0.08299,0.11435999999999999,0.13343,0.19848,0.25368,0.31838,0.41012,0.49038000000000004,0.56976,0.66092,0.76815,0.84424,0.9116799999999999,0.9775799999999999,0.97706,1.00934,0.96767,0.94894,0.89035,0.8335299999999999,0.73245,0.66394,0.56517,0.47245,0.38585,0.29475,0.24249,0.17348,0.12397999999999999,0.10412,0.05395,0.03898,0.037469999999999996,0.0,0.0,0.0,7.081251476250398e-11,0.0,0.0,2.567727994030355e-10,0.0,1.6698559971702356e-09,1.6470166528137855e-09,2.297890996703546e-09,2.488671784324648e-09,3.0874778574420153e-09,4.724850431694544e-09,6.314580864947199e-09,0.0,0.0,6.316976622787217e-09,0.0,3.291361738319389e-09,2.769733642919765e-09,2.456609310108587e-09,2.163899377267875e-09,1.6630137594159553e-09,1.2905815446459866e-09,1.2811850704574104e-09,1.1002714011872711e-09,8.91969128883227e-10,5.583151917270563e-10,1.2520212501094706e-10,0.0,0.0,1.6367555778029222e-11,1.3425297894137404e-10,0.0,1.66,5.38,10.92,0.0
41,10,0.01775,0.014209999999999999,0.0,0.01349,0.0277,0.050069999999999996,0.07034,0.1004,0.19605,0.27807,0.35958,0.48975,0.6198100000000001,0.7704300000000001,0.8840899999999999,0.94337,0.9954,0.98082,0.9693200000000001,0.8892700000000001,0.7843,0.67189,0.56606,0.42288000000000003,0.34836999999999996,0.23215,0.16055999999999998,0.13515,0.08463,0.05631,0.05088,0.00509,0.0,0.014240000000000001,0.0026899999999999997,0.0,0.0,0.0,2.0256030706420675e-11,1.6645507852177296e-11,5.564096965655391e-12,0.0,0.0,0.0,2.1068890074132612e-11,4.144102655493585e-11,6.990839774037301e-12,2.644219799229464e-11,0.0,0.0,1.0837428540015502e-09,1.3173704843603135e-09,1.1535018038420459e-09,9.989214436955718e-10,0.0,6.252768792282188e-10,0.0,3.760066734898243e-10,1.890788977100996e-10,1.211656844817568e-10,1.0884778585248957e-10,4.983874148853029e-11,0.0,1.9353935245664648e-11,4.6511725748553706e-11,0.0,0.0,0.0,4.202696859787266e-11,5.3537556084519605e-12,8.8,3.79,9.39,1.79
