Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
          (deg)     (deg)      Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
-------------------------------------------------------------------------------------------------------------------------------------
8    119  35.567134 129.351837 397  07/07/2020 05:23:38 415  12.00  26.88  1.72  NNE   9157     331.01 NNW   570   2         1        
9    119  35.567134 129.351837 471  07/07/2020 05:23:39 489  12.20  1.45   4.11  N     9157     331.01 NNW   1049  4         1        
9    119  35.567134 129.351837 542  07/07/2020 05:23:40 560  12.60  31.78  3.72  NNE   9157     331.01 NNW   1530  6         1        
9    118  35.567115 129.351837 611  07/07/2020 05:23:41 629  12.90  156.60 5.91  SSE   9157     331.01 NNW   2013  8         1        
9    119  35.567108 129.351837 690  07/07/2020 05:23:42 707  13.20  157.71 1.00  SSE   9157     331.01 NNW   2496  10        1        
9    118  35.567104 129.351837 761  07/07/2020 05:23:43 780  13.70  161.59 1.52  SSE   9157     331.01 NNW   2979  12        1        
8    142  35.567108 129.351837 839  07/07/2020 05:23:44 856  14.00  168.66 2.50  SSE   9157     331.01 NNW   3567  15        1        
9    142  35.567089 129.351837 96   07/07/2020 05:23:46 174  15.10  169.91 1.48  S     9157     331.01 NNW   4247  18        1        
9    142  35.567104 129.351837 183  07/07/2020 05:23:47 244  15.10  13.98  7.93  NNE   9157     331.01 NNW   4901  20        1        
9    118  35.567119 129.351837 348  07/07/2020 05:23:48 367  15.40  353.99 9.89  N     9157     331.01 NNW   5384  22        1        
9    118  35.567127 129.351821 421  07/07/2020 05:23:49 438  15.90  346.43 6.89  NNW   9157     331.01 NNW   5867  24        1        
9    118  35.567104 129.351806 491  07/07/2020 05:23:50 510  16.10  341.05 3.35  NNW   9157     331.01 NNW   6350  26        1        
8    142  35.567081 129.351791 571  07/07/2020 05:23:51 590  16.50  211.29 8.26  SSW   9157     331.01 NNW   6829  28        1        
9    142  35.567081 129.351806 644  07/07/2020 05:23:52 661  16.60  218.95 1.46  SW    9157     331.01 NNW   7312  30        1        
9    142  35.567085 129.351806 720  07/07/2020 05:23:53 738  16.80  226.89 1.59  SW    9157     331.01 NNW   7795  32        1        
9    142  35.567104 129.351821 790  07/07/2020 05:23:54 808  16.60  343.18 6.02  NNW   9157     331.01 NNW   8278  34        1        
9    118  35.567108 129.351821 875  07/07/2020 05:23:56 68   16.30  96.78  5.52  E     9157     331.01 NNW   8980  38        1        
9    118  35.567104 129.351852 96   07/07/2020 05:23:57 155  16.10  99.08  2.20  E     9157     331.01 NNW   9641  40        1        
9    118  35.567100 129.351852 283  07/07/2020 05:23:58 345  16.10  74.43  4.11  ENE   9157     331.01 NNW   10204 42        1        
9    118  35.567104 129.351867 374  07/07/2020 05:23:59 391  16.30  71.08  2.78  ENE   9157     331.01 NNW   10685 44        1        
9    118  35.567100 129.351852 446  07/07/2020 05:24:00 465  16.30  286.04 4.09  WNW   9157     331.01 NNW   11168 46        1        
9    118  35.567092 129.351852 522  07/07/2020 05:24:01 540  16.40  223.16 5.48  SW    9157     331.01 NNW   11651 48        1        
9    118  35.567085 129.351837 596  07/07/2020 05:24:02 614  16.40  210.89 3.72  SSW   9157     331.01 NNW   12134 50        1        
9    118  35.567085 129.351852 672  07/07/2020 05:24:03 689  16.30  175.16 4.06  S     9157     331.01 NNW   12617 52        1        
9    118  35.567081 129.351867 745  07/07/2020 05:24:04 762  16.30  103.60 10.13 ESE   9157     331.01 NNW   13101 54        1        
9    118  35.567092 129.351882 819  07/07/2020 05:24:05 837  16.30  100.31 3.56  E     9157     331.01 NNW   13658 57        1        
9    118  35.567108 129.351882 60   07/07/2020 05:24:07 123  16.40  33.83  6.09  NE    9157     331.01 NNW   14335 60        1        
9    118  35.567115 129.351882 151  07/07/2020 05:24:08 212  16.50  7.29   5.37  N     9157     331.01 NNW   14997 62        1        
9    118  35.567111 129.351882 335  07/07/2020 05:24:09 366  16.60  18.54  0.48  NNE   9157     331.01 NNW   15506 64        1        
9    118  35.567092 129.351867 408  07/07/2020 05:24:10 427  16.70  8.60   2.22  N     9157     331.01 NNW   15985 66        1        
9    119  35.567085 129.351882 483  07/07/2020 05:24:11 500  16.30  12.84  0.72  NNE   9157     331.01 NNW   16466 68        1        
9    118  35.567089 129.351882 556  07/07/2020 05:24:12 575  16.00  9.97   1.13  N     9157     331.01 NNW   16945 70        1        
9    119  35.567096 129.351882 630  07/07/2020 05:24:13 648  15.70  10.48  2.15  N     9157     331.01 NNW   17426 72        1        
9    118  35.567100 129.351898 703  07/07/2020 05:24:14 722  15.60  15.79  0.81  NNE   9157     331.01 NNW   17907 74        1        
9    118  35.567096 129.351898 780  07/07/2020 05:24:15 797  15.30  9.18   0.89  N     9157     331.01 NNW   18386 76        1        
9    118  35.567081 129.351882 859  07/07/2020 05:24:16 936  15.10  6.55   1.74  N     9157     331.01 NNW   19072 80        1        
9    118  35.567081 129.351882 83   07/07/2020 05:24:18 142  14.80  9.70   1.67  N     9157     331.01 NNW   19730 82        1        
9    118  35.567085 129.351898 265  07/07/2020 05:24:19 325  14.50  8.04   1.61  N     9157     331.01 NNW   20304 84        1        
9    118  35.567085 129.351882 354  07/07/2020 05:24:20 371  14.50  11.70  1.24  NNE   9157     331.01 NNW   20785 86        1        
