"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-3.84847844323019,
"AUS","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-2.94209791229641,
"AUS","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-2.25537456296372,
"AUS","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",0.718457868108956,
"AUS","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-4.49286859754098,
"AUS","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-44.6065547706749,
"AUT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",5.29958440630385,
"AUT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-0.963100121171535,
"AUT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-6.55757422641936,
"AUT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",4.35089663414321,
"AUT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-4.41776802918479,
"AUT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-40.9249597483647,
"BEL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-0.682490089496188,
"BEL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",1.13724494292136,
"BEL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.13402082641584,
"BEL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",2.19587358114443,
"BEL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-13.981195605141,
"BEL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-72.0164550328666,
"CAN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",7.61018961255824,
"CAN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-2.39284533517925,
"CAN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",7.39609578262083,
"CAN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-2.41396142323373,
"CAN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-0.3383999368937,
"CAN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-57.000400821015,
"CZE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-0.0537946315178133,
"CZE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-1.05081336125905,
"CZE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",3.24468141050275,
"CZE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",17.2485343059367,
"CZE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-33.3787195670682,
"CZE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-69.2773404459938,
"DNK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",38.2078014128832,
"DNK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-8.27010629901095,
"DNK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.75665542611749,
"DNK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",1.39735874357942,
"DNK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-0.345870839186215,
"DNK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-46.6169536894292,
"FIN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-6.00604489657076,
"FIN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",1.20712859850042,
"FIN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-7.5004130518306,
"FIN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",1.09037241268859,
"FIN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-1.91518672056985,
"FIN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-53.4347923457975,
"FRA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",4.58476002627128,
"FRA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",5.57781841209339,
"FRA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",4.90619831486712,
"FRA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",0.228288142728065,
"FRA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-35.8214228631804,
"FRA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-73.1247090455644,
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",6.43166642643227,
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-1.0506736029731,
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-0.423309364389273,
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-1.65010858694022,
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-0.77753184087548,
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-47.9447817220025,
