"경제활동별 GDP 및 GNI(원계열, 실질, 분기 및 연간)별",2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4
"농림어업",6221.5,8159.0,8322.0,10156.7,6197.8
"재배업",3723.6,5140.2,5293.4,6338.1,3744.4
"축산업",1568.0,1726.2,1725.6,2218.6,1623.4
"임업",211.1,690.0,682.5,833.9,219.3
"어업",674.7,567.4,576.2,730.6,630.9
"광업",411.8,524.5,451.3,480.0,420.2
"제조업",113265.5,120836.2,124058.6,131452.4,117204.1
"음식료품 제조업",5391.4,5655.9,5343.7,5873.9,5513.7
"섬유 및 가죽제품 제조업",3862.9,3418.2,3194.7,3545.6,3781.2
"목재, 종이, 인쇄 및 복제업",3094.5,3350.0,3221.3,3843.3,3129.4
"코크스 및 석유정제품 제조업",3710.6,3530.9,3366.7,3424.4,3466.2
"화학물질 및 화학제품 제조업",18048.6,18677.7,19213.1,19467.5,18124.1
"비금속광물제품 제조업",3062.3,3481.1,3465.2,3811.3,2958.6
"1차금속 제조업",6443.8,6736.0,6626.3,6840.2,6341.5
"금속가공제품 제조업",8822.1,7251.3,8154.0,10560.8,8652.8
"컴퓨터, 전자 및 광학기기 제조업",28868.0,33940.2,38583.4,37855.4,32740.2
"전기장비 제조업",7181.1,7645.8,7299.6,7315.2,7238.4
"기계 및 장비 제조업",9958.0,10415.2,10485.8,11202.7,10306.0
"운송장비 제조업",11952.9,13602.9,11899.1,14143.6,11575.2
"기타 제조업 및 산업용 장비 수리업",2694.5,2694.0,2359.0,2976.3,2727.0
"전기, 가스 및 수도사업",12437.0,12049.0,9634.0,10801.8,13329.0
"전기업",8185.8,8243.6,6580.9,6004.7,9149.4
"가스, 증기 및 공기조절 공급업",2620.8,1548.3,1276.8,2080.6,2555.7
"수도, 하수 및 폐기물 처리, 원료 재생업",2060.8,2432.2,1926.7,2467.0,2198.2
"건설업",17063.3,24409.7,22281.6,25729.6,17569.7
"건물건설업",12178.9,15889.8,14924.0,15716.4,11659.8
"주거용 건물건설업",6660.4,8061.2,7376.8,7484.5,5955.4
"비주거용 건물건설업",5516.8,7830.3,7549.9,8236.5,5705.6
"토목건설업",2033.6,3668.2,2850.9,4299.8,2502.0
"전문건설업",2852.4,4850.6,4506.0,5710.1,3408.2
"서비스업",254291.3,258040.3,258181.0,269391.3,254753.0
"도소매 및 숙박음식업",42137.7,43352.4,42615.8,46314.0,40393.3
"도소매업",32804.7,33345.2,32465.8,35497.5,32455.4
"숙박 및 음식점업",9361.5,10009.4,10131.2,10810.5,8100.3
"운수업",14786.6,15484.4,16012.8,16463.2,13276.3
"금융 및 보험업",25661.7,26091.1,26031.8,25601.6,27230.0
"부동산업",33633.4,34381.3,34432.0,34147.2,34140.0
"정보통신업",20250.7,20177.0,19622.0,22423.6,20968.6
"통신업",5567.8,5255.7,5146.2,5095.2,5685.6
"출판, 방송, 영상, 정보서비스",14713.6,14917.7,14476.4,17237.1,15345.1
"사업서비스업",34574.8,39916.4,39373.3,43926.3,34978.1
"전문, 과학 및 기술관련 서비스업",21904.2,26193.0,25146.1,27093.6,22596.8
"사업지원 서비스업",12683.2,13705.6,14234.3,16875.1,12369.3
"공공행정, 국방 및 사회보장",28721.8,27385.6,25601.2,26510.9,30016.1
"교육서비스업",23515.8,20086.6,22146.5,21744.7,23048.3
"의료, 보건업 및 사회복지서비스업",20573.9,21502.6,20895.3,22075.0,21356.0
"문화 및 기타 서비스업",10348.9,9617.0,11491.7,10251.5,9179.6
"예술, 스포츠 및 여가관련 서비스업",5487.3,4330.2,5949.8,4836.8,4511.9
"기타 서비스업",4890.8,5273.3,5566.7,5411.9,4674.4
"총부가가치(기초가격)",402909.5,423896.8,423170.5,448281.8,408537.0
"순생산물세",34361.0,37391.7,39862.3,39197.6,34748.1
"국내총생산(시장가격, GDP)",437193.3,461251.3,463085.9,487427.9,443200.4
"교역조건 변화를 반영한 실질무역손익",-1281.8,-10066.1,-13668.9,-15208.1,-10009.0
"국내총소득(GDI)",435911.5,451185.2,449417.1,472219.8,433191.4
"국외순수취요소소득",2100.6,-383.4,7154.7,6463.6,4782.0
"국민총소득(GNI)",438021.1,450834.8,456586.5,478694.1,437974.6
