CARD_SIDO_NM,STD_CLSS_NM,AMT,affected
강원,건강보조식품 소매업,96059012,0
강원,골프장 운영업,2915797995,0
강원,과실 및 채소 소매업,994816943,0
강원,관광 민예품 및 선물용품 소매업,13317300,1
강원,그외 기타 스포츠시설 운영업,2075000,1
강원,그외 기타 종합 소매업,470200240,0
강원,기타 대형 종합 소매업,6384110710,1
강원,기타 수상오락 서비스업,261000,0
강원,기타 외국식 음식점업,887636153,1
강원,기타 주점업,250737400,1
강원,기타음식료품위주종합소매업,8543165454,1
강원,내항 여객 운송업,458000,1
강원,마사지업,14461000,1
강원,비알콜 음료점업,902984583,1
강원,빵 및 과자류 소매업,1143257530,0
강원,서양식 음식점업,1728089290,1
강원,수산물 소매업,517573130,1
강원,슈퍼마켓,10697999602,0
강원,스포츠 및 레크레이션 용품 임대업,2192114606,1
강원,여관업,348418711,1
강원,여행사업,77745150,0
강원,욕탕업,150125300,1
강원,육류 소매업,1791210193,0
강원,일반유흥 주점업,966787830,1
강원,일식 음식점업,1229888938,1
강원,자동차 임대업,4607000,0
강원,전시 및 행사 대행업,46249060,1
강원,중식 음식점업,1317951278,1
강원,차량용 가스 충전업,506599405,1
강원,차량용 주유소 운영업,14951456819,1
강원,체인화 편의점,8169183294,1
강원,피자 햄버거 샌드위치 및 유사 음식점업,1275528331,1
강원,한식 음식점업,18063288995,1
강원,호텔업,367560828,1
강원,화장품 및 방향제 소매업,452924705,1
강원,휴양콘도 운영업,559876015,1
경기,건강보조식품 소매업,1284597187,0
경기,골프장 운영업,14282870436,0
경기,과실 및 채소 소매업,8114936000,1
경기,관광 민예품 및 선물용품 소매업,88494950,1
경기,그외 기타 스포츠시설 운영업,7012700,1
경기,그외 기타 종합 소매업,9593389882,0
경기,기타 대형 종합 소매업,134833862231,1
경기,기타 수상오락 서비스업,46137060,1
경기,기타 외국식 음식점업,9087477050,1
경기,기타 주점업,1174535264,1
경기,기타음식료품위주종합소매업,21624337619,1
경기,내항 여객 운송업,261500,1
경기,마사지업,225027378,1
경기,버스 운송업,2379330020,0
경기,비알콜 음료점업,12218286138,1
경기,빵 및 과자류 소매업,14820214723,0
경기,서양식 음식점업,19332551424,1
경기,수산물 소매업,4093272663,1
경기,슈퍼마켓,143081115973,1
경기,스포츠 및 레크레이션 용품 임대업,11219658475,1
경기,여관업,3005834906,1
경기,여행사업,7116465,1
경기,욕탕업,1370201577,1
경기,육류 소매업,19534218342,1
경기,일반유흥 주점업,4887439444,1
경기,일식 음식점업,8367268395,1
경기,자동차 임대업,1525927647,1
경기,전시 및 행사 대행업,902853970,1
경기,중식 음식점업,14003505089,1
