,rho,650_src,660_src,670_src,680_src,690_src,700_src,710_src,720_src,730_src,740_src,750_src,760_src,770_src,780_src,790_src,800_src,810_src,820_src,830_src,840_src,850_src,860_src,870_src,880_src,890_src,900_src,910_src,920_src,930_src,940_src,950_src,960_src,970_src,980_src,990_src,650_dst,660_dst,670_dst,680_dst,690_dst,700_dst,710_dst,720_dst,730_dst,740_dst,750_dst,760_dst,770_dst,780_dst,790_dst,800_dst,810_dst,820_dst,830_dst,840_dst,850_dst,860_dst,870_dst,880_dst,890_dst,900_dst,910_dst,920_dst,930_dst,940_dst,950_dst,960_dst,970_dst,980_dst,990_dst,hhb,hbo2,ca,na
4,15,1.01521,1.00872,0.9893,0.98874,1.01773,1.0163200000000001,1.00009,0.9821700000000001,1.0156399999999999,1.00216,1.0119,1.0034399999999999,0.98365,1.0135,1.01649,0.9822,0.9909100000000001,0.9925799999999999,1.00175,0.98861,0.9827,1.00432,1.01434,1.01455,0.98861,0.983,1.00616,0.99045,1.01321,1.01559,1.01072,0.99439,0.9859700000000001,0.99889,1.0141200000000001,4.784750953172735e-14,0.0,0.0,1.1530893246703792e-13,0.0,0.0,1.0569907807896528e-13,0.0,0.0,2.666662547691211e-14,1.493070903390294e-14,0.0,0.0,1.2007299180406988e-13,2.648249346439181e-13,0.0,4.3923309960109216e-13,2.8311908926956797e-13,4.557058661337523e-13,1.3260379787114735e-13,1.864796390240577e-13,1.4193585037614685e-13,1.7655587147797438e-13,1.5937890932289242e-13,0.0,0.0,0.0,1.5376190251113287e-14,4.996522024233097e-14,1.4579551794831215e-13,8.769052618531829e-14,0.0,1.3302370407620812e-13,0.0,0.0,11.97,4.41,10.78,2.42
12,15,0.07312,0.07556,0.10409000000000002,0.10779000000000001,0.10405,0.14800000000000002,0.13873,0.18648,0.21541999999999997,0.22853,0.26868000000000003,0.33318000000000003,0.37801,0.46597,0.55658,0.6741699999999999,0.8068,0.9158,0.9704,1.00126,0.9697,0.8663799999999999,0.75329,0.6246,0.5293100000000001,0.4381,0.38284,0.32421,0.2631,0.23354,0.20908000000000002,0.17282999999999998,0.15492999999999998,0.11242,0.10572000000000001,3.282508513556294e-14,1.0629541711800421e-15,0.0,2.1589857705612988e-14,0.0,0.0,2.098349675219725e-14,2.9040282072758984e-14,7.511486799869393e-14,0.0,0.0,1.0501337983476235e-13,0.0,7.22249279644349e-14,7.223591995222255e-13,0.0,2.300487779795484e-12,2.205937809754888e-12,2.2729923512449405e-12,2.02148749465621e-12,1.6379898201870289e-12,1.603466345515918e-12,1.0702489648962225e-12,6.508553571701016e-13,1.7105043160381374e-13,2.391876451594289e-13,1.289943643984531e-13,2.610243360160377e-13,9.947388327977729e-14,1.1729264023666686e-13,9.951306126778514e-14,2.0584613457860358e-14,8.658704703305079e-14,5.711447985835684e-13,2.4469978494303286e-12,10.11,2.82,8.59,2.96
17,15,0.00294,0.00316,0.030739999999999996,0.02161,0.04202,0.07735,0.08258,0.11300999999999999,0.14574,0.19629000000000002,0.23797,0.28476999999999997,0.36817,0.42103,0.52466,0.58644,0.66252,0.72682,0.81738,0.88036,0.93732,0.9731799999999999,1.00095,1.01167,0.9843200000000001,0.96667,0.92364,0.87239,0.8006,0.73226,0.6420600000000001,0.58135,0.49138999999999994,0.43,0.3368,9.696022158078847e-14,0.0,7.953116780723619e-14,0.0,0.0,4.8851900689819513e-14,1.1896257584095627e-13,0.0,5.722955617673852e-14,0.0,0.0,3.697529122815279e-13,4.551313849180964e-13,0.0,6.989725722130148e-12,1.0249738300367222e-11,1.115899154512924e-11,1.0866315480158008e-11,0.0,9.172831584858668e-12,8.397279648202418e-12,7.880486665724842e-12,6.5242567001682186e-12,0.0,0.0,1.3114180302863378e-12,0.0,1.839463262659663e-12,2.4046313212352268e-12,3.000977374184284e-12,1.5857671050226103e-12,0.0,2.400672297067523e-12,5.825533838124015e-12,1.0554584713310028e-11,4.79,5.21,3.91,2.74
18,15,0.20665999999999998,0.24788000000000002,0.32097,0.40847,0.49645,0.5954,0.67957,0.78125,0.86325,0.91471,0.96175,0.9744799999999999,1.00763,1.00291,0.94732,0.87907,0.81125,0.71418,0.6287,0.54087,0.46428,0.38079,0.3023,0.22857,0.18453,0.1263,0.07397999999999999,0.07606,0.03532,0.04112,0.028069999999999998,0.0,0.0082,0.0093,0.00547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3675039064929687e-13,5.151432979226727e-13,0.0,0.0,0.0,1.876616629670641e-12,6.923685578862157e-12,1.4485970180248837e-11,2.357768237949273e-11,2.4361456850472216e-11,1.827458613700324e-11,0.0,6.736389411316402e-12,5.300884633551313e-12,0.0,3.4297299668908186e-12,1.3469235149073503e-12,0.0,3.189559734456855e-13,0.0,0.0,0.0,3.23363566494252e-13,1.3901881577376005e-13,0.0,0.0,5.001402249924579e-13,6.278330169662323e-13,4.1,3.36,11.49,3.61
24,15,0.17742,0.21459,0.24377,0.25617,0.29402,0.31986,0.37966,0.4017,0.45369,0.52042,0.60452,0.68214,0.78135,0.8359700000000001,0.9333,0.9544,1.00004,1.00168,0.97544,0.9072899999999999,0.82506,0.752,0.65181,0.60136,0.5121899999999999,0.4488,0.3908,0.35709,0.30785,0.26491,0.26155,0.2223,0.21949000000000002,0.18270999999999998,0.18685,0.0,1.7476594570001668e-13,0.0,6.663792107833498e-14,0.0,0.0,1.0135513667085672e-14,1.8470178903030292e-13,4.71733859187036e-13,0.0,0.0,0.0,3.067924459075765e-13,1.6521172278842742e-12,4.892998979526354e-12,7.891674801489879e-12,8.378111494451204e-12,8.766965629724579e-12,6.726530483884597e-12,4.360726917889286e-12,3.684234552515636e-12,3.273972376352326e-12,2.5035651644606144e-12,1.641742067353972e-12,9.766601566913674e-13,0.0,6.730373357918825e-13,5.465780175744202e-13,5.583183314842067e-13,5.650261214317007e-13,0.0,9.354825737745578e-14,3.174510096406453e-14,0.0,6.405926118086236e-12,7.3,3.6,7.71,0.75
28,15,0.00903,0.01811,0.01904,0.0,0.03065,0.02094,0.07464,0.08333,0.15846,0.2346,0.31373,0.42544,0.5341600000000001,0.67333,0.8296399999999999,0.9485299999999999,0.99119,0.9683,0.8684299999999999,0.69191,0.50249,0.31261,0.17390999999999998,0.06938,0.02075,0.0,0.0033399999999999997,0.00223,0.0,0.0,0.0,0.012740000000000001,0.0,0.01831,0.0006,0.0,6.511133962009487e-14,0.0,0.0,2.0664814755570169e-13,5.042090171441842e-14,0.0,9.791893241970517e-14,0.0,3.315982957272292e-13,2.691548184452693e-13,1.5678224983139654e-13,0.0,6.992238443544644e-13,3.5963760502816584e-12,8.066980551724463e-12,1.0809318549411985e-11,0.0,6.3327281135032335e-12,0.0,0.0,1.6933755431663613e-12,8.3382241072657e-13,1.3366435033882088e-13,0.0,0.0,0.0,0.0,3.4683644500312484e-14,0.0,1.8506143359122387e-15,2.934582830303126e-14,0.0,1.9693306762829685e-13,2.3639710487842116e-14,6.84,2.47,11.84,4.76
31,15,0.0,0.0029,0.0,0.01111,0.004079999999999999,0.00535,0.00099,0.00233,0.0,0.00613,0.0,0.0,0.022359999999999998,0.046810000000000004,0.06865,0.16086,0.30235,0.47744,0.73163,0.91276,0.9846299999999999,0.9277299999999999,0.68496,0.46533,0.22421999999999997,0.09502999999999999,0.04997,0.028569999999999998,0.0,0.012969999999999999,0.0,0.00543,0.0,0.0,0.00063,1.222045277161104e-12,0.0,0.0,0.0,0.0,6.027753978182143e-13,0.0,0.0,1.086653667796866e-12,0.0,0.0,0.0,6.123789147315689e-13,3.75332192812112e-12,1.1627675329985057e-11,3.2213708755895705e-11,5.567621103023542e-11,7.002305188427036e-11,6.84081802170282e-11,5.63153306878763e-11,5.065825220385156e-11,5.073248757026275e-11,3.509253392606884e-11,1.1642255582048859e-11,1.0237395446612113e-12,1.6131192851898767e-12,3.218481578990333e-13,7.265706027711578e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.6721149112800986e-14,0.0,4.39,11.25,2.95
45,15,0.06819,0.05445,0.08918999999999999,0.1132,0.17494,0.231,0.25838,0.33697,0.41473999999999994,0.49273999999999996,0.5605600000000001,0.67497,0.76095,0.8220299999999999,0.8797299999999999,0.93461,0.97965,1.0113299999999998,0.9736100000000001,0.96473,0.9044399999999999,0.8262799999999999,0.72978,0.6381600000000001,0.5605600000000001,0.46624,0.36591999999999997,0.27714,0.22035,0.14724,0.11800999999999999,0.06583,0.04294,0.02519,0.026310000000000004,0.0,0.0,2.2103400214073285e-13,0.0,1.5325513861790495e-13,2.134838522296703e-13,0.0,0.0,0.0,0.0,2.277754968830327e-13,3.110422023679631e-13,5.321644842698878e-14,8.358035625464735e-13,4.947905481334538e-12,9.055649612977163e-12,0.0,1.1811977038026787e-11,0.0,5.082967837199242e-12,5.123304630147541e-12,0.0,3.404130014744442e-12,1.77019232298553e-12,5.601871726032902e-13,6.962497110571858e-13,7.588342346702398e-13,0.0,4.1144917499744586e-13,0.0,1.6345769777719586e-13,0.0,0.0,0.0,8.740805891078682e-13,6.42,2.41,13.7,2.65
47,15,0.1026,0.11305,0.10785,0.12862,0.11069000000000001,0.12337999999999999,0.1336,0.1603,0.16545,0.19735,0.23954,0.24524,0.28586,0.33928,0.36505,0.42015,0.47305,0.54596,0.63941,0.68692,0.7796,0.8791700000000001,0.95311,1.00815,0.98411,0.96116,0.9092,0.83578,0.75662,0.67904,0.57853,0.51483,0.45938,0.39365,0.34613,0.0,2.355731961078733e-13,1.7303517858131345e-13,1.83929107989022e-13,3.246233957196679e-13,1.3755688194979774e-13,0.0,2.964416918964289e-13,0.0,7.94445435979315e-13,8.083840515637109e-13,8.101271953655911e-13,8.46953002182507e-13,3.164888809436148e-12,0.0,1.2399416948593777e-11,1.555584631511482e-11,0.0,1.3793513507854287e-11,9.49424324438722e-12,8.114223236540472e-12,9.747091701924016e-12,0.0,7.435883994445501e-12,5.89919220756615e-12,8.595452546383794e-12,8.140209658556781e-12,6.940450693659537e-12,6.0170596166592644e-12,1.8867406895344173e-12,8.895865777430319e-13,2.7173323207775777e-13,0.0,3.937997859270544e-12,1.710579512158795e-11,4.55,3.51,10.16,0.12
62,15,1.0117200000000002,0.98735,1.01876,0.9874,0.9898899999999999,0.9990000000000001,1.0086899999999999,1.005,1.00724,1.01579,1.00274,1.00088,1.00376,1.00426,0.9944700000000001,1.01925,0.9979600000000001,0.99559,1.01286,1.01749,0.99149,1.0061,1.00406,1.00552,1.00631,0.9924200000000001,0.9918399999999999,0.9925299999999999,0.9819100000000001,0.98664,0.98588,0.9906299999999999,1.0192299999999999,1.00799,1.00679,1.32281939405454e-13,5.489780543195004e-13,9.302270373346405e-13,2.595661858330294e-13,0.0,3.2770066825653304e-13,0.0,6.801026073496618e-13,6.734598350956098e-13,0.0,0.0,0.0,2.1544961153599208e-12,6.4612562458315196e-12,1.4373429640356734e-11,2.338477841460195e-11,2.654152461991655e-11,2.142961450967986e-11,0.0,0.0,1.3664221481828653e-11,1.5750977438121122e-11,0.0,6.17144465104995e-12,0.0,2.148349357245001e-12,2.9811434192792887e-12,3.1757016468778638e-12,0.0,7.2621188450679924e-12,3.484342760099726e-12,4.3030395452089824e-13,5.699473707034363e-12,2.144605802520496e-11,6.060245897727308e-11,5.0,3.83,5.74,3.98
