Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
          (deg)     (deg)      Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
-------------------------------------------------------------------------------------------------------------------------------------
9    119  35.567150 129.351898 783  07/07/2020 05:14:04 802  5.60   95.15  0.91  E     9157     331.01 NNW   480   2         0        
9    119  35.567157 129.351928 818  07/07/2020 05:14:06 45   11.30  99.99  0.33  E     9157     331.01 NNW   1170  6         0        
9    119  35.567127 129.351928 82   07/07/2020 05:14:07 143  10.40  106.75 0.91  ESE   9157     331.01 NNW   1821  8         0        
9    119  35.567123 129.351928 268  07/07/2020 05:14:08 328  10.50  110.49 0.37  ESE   9157     331.01 NNW   2398  10        0        
9    119  35.567127 129.351913 362  07/07/2020 05:14:09 379  10.40  117.88 1.13  ESE   9157     331.01 NNW   2881  12        0        
9    119  35.567134 129.351913 436  07/07/2020 05:14:10 454  9.80   128.51 0.94  SE    9157     331.01 NNW   3363  14        0        
9    119  35.567134 129.351913 512  07/07/2020 05:14:11 529  9.40   122.13 0.57  ESE   9157     331.01 NNW   3845  16        0        
9    119  35.567134 129.351913 587  07/07/2020 05:14:12 606  9.10   115.85 0.59  ESE   9157     331.01 NNW   4327  18        0        
9    135  35.567134 129.351913 661  07/07/2020 05:14:13 679  9.40   120.21 0.70  ESE   9157     331.01 NNW   4809  20        0        
9    119  35.567138 129.351928 734  07/07/2020 05:14:14 752  9.70   112.56 1.37  ESE   9157     331.01 NNW   5291  22        0        
9    119  35.567134 129.351928 809  07/07/2020 05:14:15 827  9.30   115.04 0.72  ESE   9157     331.01 NNW   5793  24        0        
9    119  35.567138 129.351928 904  07/07/2020 05:14:17 86   9.50   106.15 0.20  ESE   9157     331.01 NNW   6489  28        0        
9    119  35.567134 129.351913 120  07/07/2020 05:14:18 182  9.90   106.15 0.11  ESE   9157     331.01 NNW   7138  30        0        
9    119  35.567134 129.351913 306  07/07/2020 05:14:19 365  10.30  106.15 0.06  ESE   9157     331.01 NNW   7692  32        0        
9    119  35.567134 129.351913 398  07/07/2020 05:14:20 416  10.60  106.15 0.15  ESE   9157     331.01 NNW   8176  34        0        
9    119  35.567131 129.351928 474  07/07/2020 05:14:21 491  11.40  106.15 0.09  ESE   9157     331.01 NNW   8660  36        0        
9    119  35.567127 129.351928 548  07/07/2020 05:14:22 566  12.00  106.15 0.06  ESE   9157     331.01 NNW   9144  38        0        
9    119  35.567127 129.351928 623  07/07/2020 05:14:23 641  12.70  106.15 0.04  ESE   9157     331.01 NNW   9628  40        0        
9    119  35.567127 129.351943 698  07/07/2020 05:14:24 716  13.60  106.15 0.04  ESE   9157     331.01 NNW   10112 42        0        
9    119  35.567123 129.351943 771  07/07/2020 05:14:25 790  14.00  106.15 0.22  ESE   9157     331.01 NNW   10596 44        0        
9    119  35.567127 129.351943 838  07/07/2020 05:14:26 855  12.60  98.53  1.56  E     9157     331.01 NNW   11194 47        0        
9    119  35.567131 129.351928 91   07/07/2020 05:14:28 61   12.00  92.71  0.19  E     9157     331.01 NNW   11884 50        0        
9    119  35.567131 129.351943 179  07/07/2020 05:14:29 239  12.00  98.45  0.50  E     9157     331.01 NNW   12548 52        0        
9    119  35.567127 129.351943 360  07/07/2020 05:14:30 377  12.00  101.60 3.04  ESE   9157     331.01 NNW   13045 54        0        
9    119  35.567127 129.351943 447  07/07/2020 05:14:31 464  12.10  101.60 0.15  ESE   9157     331.01 NNW   13516 56        0        
9    119  35.567127 129.351943 507  07/07/2020 05:14:32 524  12.20  97.16  0.65  E     9157     331.01 NNW   13997 58        0        
9    119  35.567131 129.351943 593  07/07/2020 05:14:33 611  12.40  97.16  0.17  E     9157     331.01 NNW   14468 60        0        
9    119  35.567131 129.351943 667  07/07/2020 05:14:34 684  12.30  97.16  0.13  E     9157     331.01 NNW   14939 62        0        
9    119  35.567131 129.351943 744  07/07/2020 05:14:35 763  12.10  97.16  0.19  E     9157     331.01 NNW   15410 64        0        
9    119  35.567131 129.351928 818  07/07/2020 05:14:36 836  11.80  97.16  0.15  E     9157     331.01 NNW   15903 66        0        
9    119  35.567131 129.351928 916  07/07/2020 05:14:38 83   11.70  97.16  0.13  E     9157     331.01 NNW   16585 70        0        
9    119  35.567131 129.351943 119  07/07/2020 05:14:39 180  11.90  97.16  0.04  E     9157     331.01 NNW   17236 72        0        
9    119  35.567127 129.351943 307  07/07/2020 05:14:40 363  12.00  97.16  0.07  E     9157     331.01 NNW   17765 74        0        
9    119  35.567127 129.351928 391  07/07/2020 05:14:41 409  11.40  97.16  0.00  E     9157     331.01 NNW   18249 76        0        
9    119  35.567127 129.351928 456  07/07/2020 05:14:42 474  11.50  97.16  0.06  E     9157     331.01 NNW   18733 78        0        
9    119  35.567127 129.351928 535  07/07/2020 05:14:43 552  11.60  97.16  0.28  E     9157     331.01 NNW   19217 80        0        
9    126  35.567127 129.351928 613  07/07/2020 05:14:44 632  11.10  97.16  0.06  E     9157     331.01 NNW   19701 82        0        
9    119  35.567127 129.351928 688  07/07/2020 05:14:45 706  11.10  97.16  0.06  E     9157     331.01 NNW   20185 84        0        
9    126  35.567127 129.351928 765  07/07/2020 05:14:46 782  10.90  97.16  0.06  E     9157     331.01 NNW   20669 86        0        
