"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",2.54054528361335,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",2.12289592170912,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",0.00912654068445842,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-7.25941445376598,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-3.37236808845425,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-33.3208461060304,
"JPN","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q3",27.0169430306412,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-1.35186949363561,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",4.11869798544649,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.51029940759768,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",5.35064829372257,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-5.0290800572838,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-14.996605483029,
"KOR","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q3",9.91952348186378,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",3.09613954623588,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",2.01381860989409,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",2.10350658188971,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",2.12662950408689,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-5.04709077182583,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-41.3840608012117,
"USA","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q3",18.7939000476581,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",2.07513960856931,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",0.408935976052779,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.22386633591837,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",0.2480637900791,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-13.5793802694439,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-48.7180326833942,
"EA17","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q3",51.3733921981216,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",2.58458109197712,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",1.64658690698113,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.61383878342888,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",0.62637009144299,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-7.08641015368831,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-43.1139047263526,
"OECD","REALGDPFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q3",29.3512692913516,
